folio #,3_Usted recibe agua del suministro publico de forma continua or intermitente,5_hrs_water_supply (per wk)
357,Intermitente,168
358,Intermitente,15
359,Continua,168
360,Continua,168
460,Intermitente,28
461,Intermitente,28
462,N/A,168
463,Continua,38.5
464,Continua,168
465,Continua,168
466,N/A,168
467,N/A,72
468,Continua,168
469,Intermitente,10.5
484,Intermitente,168
485,Intermitente,168
486,Intermitente,168
487,Continua,168
488,Intermitente,168
489,Continua,168
490,Intermitente,no sabemos horas
491,Intermitente,70
492,Intermitente,varía
493,Continua,168
494,Intermitente,98
495,Intermitente,impredecible
496,Intermitente,168
497,Intermitente,35
361,Intermitente,168
362,Continua,168
363,Intermitente,12
364,Continua,168
365,Continua,168
366,Intermitente,
367,Continua,168
368,Continua,168
369,Intermitente,14
370,Intermitente,
371,Intermitente,10.5
372,Continua,168
373,Continua,7
374,Intermitente,10.5
375,Intermitente,24
376,Intermitente,24
377,Intermitente,25
378,Intermitente,1 vez a la semana
379,Intermitente,impredecible
441,Intermitente,15
442,Intermitente,24
443,Intermitente,168
444,Intermitente,42
445,Intermitente,31.5
446,Intermitente,15
447,Intermitente,2.75
448,Intermitente,147
449,Intermitente,168P
380,Intermitente,21
381,Intermitente,30
382,Intermitente,1.5
383,Continua,168
384,Intermitente,20
385,Intermitente,2
386,Intermitente,32
387,Intermitente,12
388,Intermitente,28
389,Intermitente,6
315,Intermitente,
