ID,SEASON,W_WS_LOC,HW_TOTAL,HW_WORRY,HW_INTERR,HW_CLOTHES,HW_PLANS,HW_FOOD,HW_HANDS,HW_BODY,HW_DRINK,HW_ANGRY,HW_SLEEP,HW_NONE,HW_SHAME,HW_INFO,PSS1,PSS2,PSS3,PSS4,PSS5,PSS6,PSS7,PSS8,PSS9,PSS10,PSS11,PSS12,PSS13,PSS14,PSS_INFO
1,Oct-Dec,WI,NA,2,0,0,0,0,0,0,0,1,0,1,0,,2,3,2,4,3,2,2,1,2,3,1,4,2,1,13-18=-5
2,Oct-Dec,WI,NA,0,0,0,0,0,0,1,0,2,0,2,0,,2,2,3,3,3,4,3,2,3,2,2,4,3,2,17-21=-4
3,Oct-Dec,WI,NA,0,0,0,0,0,0,0,0,1,0,0,0,,2,2,2,2,2,3,3,2,3,2,2,2,3,2,0
4,Oct-Dec,WI,NA,0,0,0,0,0,0,0,0,1,0,0,1,6: pasa en los parques pueblos donde no hay agua 9: cuando su esposo a la marcha 12: x que ya todos saben que no hay agua,2,3,2,3,3,3,3,1,3,2,2,2,3,1,"13-20=-7, Revisar!"
5,Oct-Dec,WI,NA,2,1,1,1,1,0,1,0,1,0,3,1,,2,2,3,2,2,2,3,2,2,1,3,3,2,3,18-14= 4
6,Oct-Dec,WI,NA,1,1,2,1,3,1,1,0,1,0,2,2,,2,2,3,2,3,3,4,1,3,3,2,3,1,2,-4
7,Oct-Dec,WI,NA,0,1,1,1,1,1,1,0,1,0,1,1,,2,2,2,2,3,2,2,2,2,2,2,2,2,2,puntaje total: -1
8,Oct-Dec,WI,NA,2,2,2,0,0,2,0,0,0,0,0,0,,2,1,3,3,3,2,3,1,3,3,4,2,2,2,14-19= -5
9,Oct-Dec,WI,NA,0,2,0,0,0,0,0,0,1,0,0,0,,2,3,2,3,2,2,2,3,3,2,2,2,2,2,16-16=0
10,Oct-Dec,WI,NA,2,2,2,0,0,0,0,0,0,0,0,0,Total (6) sub-total emociones (2),1,2,1,3,3,3,3,2,3,0,2,3,3,2,puntaje total= -5
11,Oct-Dec,WI,NA,1,0,0,1,1,0,2,0,3,0,3,0,Total (11) sub total emociones (4),3,3,4,4,2,1,2,3,3,1,4,3,4,1,puntaje total: 4
12,Oct-Dec,WI,NA,1,1,0,0,0,0,0,0,1,0,1,1,Total (5) sub-total (3),3,4,4,1,2,2,2,2,2,1,4,3,2,4,puntaje total: 12
13,Oct-Dec,WI,NA,1,1,0,1,0,0,0,0,0,1,1,0,total (5) sub total (1),4,3,4,4,2,3,4,2,1,1,3,3,2,3,puntaje total= 5
14,Oct-Dec,WI,NA,1,2,0,0,0,0,0,0,0,0,0,0,Total (3) sub total (1),2,2,2,3,3,3,3,2,3,3,2,2,3,1,puntaje totale= -8
15,Oct-Dec,WI,NA,0,0,1,0,0,0,0,0,0,0,0,0,total (1) sub-total (0),3,3,3,2,2,2,1,2,1,1,3,3,2,3,puntaje total 9
16,Oct-Dec,WI,NA,3,2,2,0,1,0,3,0,3,0,3,2,"El agua huele muy feo, me cambie de casa por eso. Nos banamos con esa agua sucia ",3,3,2,2,1,3,3,1,2,2,2,3,2,4,puntaje total: 3
17,Oct-Dec,WI,NA,1,1,2,1,0,0,1,0,0,0,0,0,total (6) sub total (1),2,0,2,3,3,3,3,2,3,2,2,3,3,3,puntaje total= -6
18,Oct-Dec,WI,NA,0,1,1,0,0,0,0,1,2,1,1,0,total (7) sub-total (2),2,1,2,3,2,2,2,3,2,2,3,3,1,2,puntaje total: 16-14=2
19,Oct-Dec,WI,NA,1,1,2,1,0,0,1,0,0,0,2,0,total (8) sub-total (1),1,3,3,3,2,2,2,3,2,3,3,3,3,2,puntaje total:1
20,Oct-Dec,WI,NA,2,2,1,2,1,0,2,1,2,0,0,1,"diario, 6 am a 12 pm",1,2,4,2,1,3,3,2,3,2,3,3,2,2,
21,Oct-Dec,WI,NA,0,0,0,0,0,0,0,0,1,0,0,0,,2,2,2,3,2,4,3,2,3,2,2,2,2,2,
