"Folio","WS.WI","Total_Hwise","Preocupacion","Interrupcion","Ropa","Planes","Alimentos","Manos","Cuerpo","Bebida","Enojo","Suenio","Ninguno","Verguenza","Season"
425,"WI",2,0,0,1,0,0,0,0,0,0,0,1,0,"Apr-Jun"
426,"WI",17,2,2,2,3,2,2,2,0,2,0,0,0,"Apr-Jun"
428,"WI",6,1,1,1,0,0,0,1,0,2,0,0,0,"Apr-Jun"
429,"WI",10,1,2,2,3,0,0,0,0,1,0,1,0,"Apr-Jun"
430,"WI",15,1,2,2,2,1,0,2,2,2,1,0,0,"Apr-Jun"
431,"WI",16,3,2,3,0,0,1,1,1,0,1,3,1,"Apr-Jun"
432,"WS",2,0,1,0,0,0,0,0,1,0,0,0,0,"Apr-Jun"
433,"WS",6,1,1,1,0,0,0,1,0,1,0,1,0,"Apr-Jun"
434,"WS",8,1,1,1,1,0,0,1,1,0,1,1,0,"Apr-Jun"
435,"WS",4,3,0,0,0,0,0,0,0,1,0,0,0,"Apr-Jun"
436,"WS",20,2,1,3,2,3,1,2,1,0,2,1,2,"Apr-Jun"
437,"WS",11,1,1,1,2,0,0,1,1,1,1,2,0,"Apr-Jun"
438,"WS",17,3,1,1,2,1,2,2,1,2,0,2,0,"Apr-Jun"
439,"WS",12,1,2,2,1,0,1,1,1,1,1,1,0,"Apr-Jun"
440,"WI",7,1,2,1,0,0,0,1,0,1,0,1,0,"Apr-Jun"
441,"WI",18,2,3,3,2,0,0,2,1,1,1,3,0,"Apr-Jun"
442,"WI",14,2,2,1,3,1,0,2,2,1,0,0,0,"Apr-Jun"
443,"WI",13,2,1,2,0,1,0,1,1,1,1,3,0,"Apr-Jun"
444,"WI",2,1,0,1,0,0,0,0,0,0,0,0,0,"Apr-Jun"
445,"WI",11,3,3,3,0,0,0,1,0,0,0,1,0,"Apr-Jun"
446,"WI",11,2,2,1,1,2,0,0,0,1,0,1,1,"Apr-Jun"
447,"WI",10,2,2,3,1,0,0,0,0,1,0,1,0,"Apr-Jun"
448,"WI",3,0,1,0,0,0,0,0,1,0,1,0,0,"Apr-Jun"
449,"WS",9,1,1,1,1,1,0,0,1,1,0,2,0,"Apr-Jun"
450,"WS",27,3,3,3,3,2,3,3,2,3,1,1,0,"Apr-Jun"
451,"WS",5,0,1,1,0,0,1,1,0,0,0,1,0,"Apr-Jun"
452,"WS",18,2,2,1,2,1,1,2,1,2,1,3,0,"Apr-Jun"
453,"WS",16,1,2,2,1,2,1,1,1,2,0,2,1,"Apr-Jun"
454,"WS",7,1,2,2,0,0,0,1,0,1,0,0,0,"Apr-Jun"
455,"WS",3,1,0,0,0,0,0,0,1,1,0,0,0,"Apr-Jun"
456,"WS",23,3,3,2,3,2,2,2,1,3,1,1,0,"Apr-Jun"
457,"WI",5,1,1,1,0,0,0,1,0,0,0,1,0,"Apr-Jun"
458,"WS",15,3,2,2,0,1,1,1,1,1,1,1,1,"Apr-Jun"
459,"WI",1,0,0,1,0,0,0,0,0,0,0,0,0,"Apr-Jun"
460,"WI",17,3,1,2,3,0,1,2,0,2,0,1,2,"Apr-Jun"
461,"WI",0,0,0,0,0,0,0,0,0,0,0,0,0,"Apr-Jun"
462,"WI",0,0,0,0,0,0,0,0,0,0,0,0,0,"Apr-Jun"
463,"WS",9,3,2,2,0,0,0,0,0,2,0,0,0,"Apr-Jun"
464,"WS",9,1,2,1,1,1,0,1,0,1,0,1,0,"Apr-Jun"
465,"WS",0,0,0,0,0,0,0,0,0,0,0,0,0,"Apr-Jun"
466,"WS",5,3,1,0,0,1,0,0,0,0,0,0,0,"Apr-Jun"
467,"WS",13,2,1,1,1,2,1,0,0,2,2,1,0,"Apr-Jun"
468,"WS",7,0,1,2,0,0,1,1,0,0,0,2,0,"Apr-Jun"
469,"WS",5,1,2,1,0,0,0,1,0,0,0,0,0,"Apr-Jun"
470,"WS",11,2,2,2,1,0,0,1,0,2,0,1,0,"Apr-Jun"
471,"WS",14,2,2,2,1,2,0,2,0,1,0,1,1,"Apr-Jun"
472,"WS",9,0,0,0,2,0,0,0,0,3,0,2,2,"Apr-Jun"
473,"WS",9,1,3,2,2,0,0,0,0,0,1,0,0,"Apr-Jun"
474,"WS",5,1,1,0,0,0,1,1,0,0,0,1,0,"Apr-Jun"
475,"WS",26,3,3,3,1,3,3,2,0,3,0,3,2,"Apr-Jun"
476,"WS",7,3,1,1,1,0,0,0,0,1,0,0,0,"Apr-Jun"
477,"WS",8,3,1,0,0,2,0,0,0,2,0,0,0,"Apr-Jun"
478,"WI",16,3,2,2,2,1,2,2,0,1,0,1,0,"Apr-Jun"
479,"WI",20,2,3,2,2,1,1,2,1,3,1,2,0,"Apr-Jun"
480,"WI",4,1,1,0,0,0,0,0,1,0,1,0,0,"Apr-Jun"
481,"WI",8,1,1,2,1,0,0,0,1,1,0,1,0,"Apr-Jun"
482,"WI",1,0,0,0,1,0,0,0,0,0,0,0,0,"Apr-Jun"
483,"WS",20,1,1,3,3,3,0,2,1,2,1,3,0,"Apr-Jun"
484,"WS",5,1,2,1,0,0,0,0,1,0,0,0,0,"Apr-Jun"
485,"WS",12,1,1,2,3,3,0,1,0,1,0,0,0,"Apr-Jun"
486,"WS",14,3,1,2,2,2,1,1,0,1,0,1,0,"Apr-Jun"
487,"WS",16,3,2,2,2,1,0,2,0,2,0,2,0,"Apr-Jun"
488,"WS",1,0,0,0,0,0,0,0,0,0,0,1,0,"Apr-Jun"
489,"WS",3,0,0,0,0,0,3,0,0,0,0,0,0,"Apr-Jun"
490,"WS",11,2,2,2,1,0,1,1,0,1,0,1,0,"Apr-Jun"
491,"WS",11,2,1,1,1,1,1,1,0,2,1,0,0,"Apr-Jun"
492,"WS",7,1,1,0,1,2,0,0,0,1,0,1,0,"Apr-Jun"
493,"WS",4,0,1,0,1,0,0,1,0,0,0,1,0,"Apr-Jun"
494,"WS",2,1,0,1,0,0,0,0,0,0,0,0,0,"Apr-Jun"
495,"WS",3,1,2,0,0,0,0,0,0,0,0,0,0,"Apr-Jun"
496,"WS",3,2,1,0,0,0,0,0,0,0,0,0,0,"Apr-Jun"
497,"WS",10,2,2,1,1,0,0,2,0,1,0,1,0,"Apr-Jun"
