"Folio","WS.WI","Total_Hwise","Preocupacion","Interrupcion","Ropa","Planes","Alimentos","Manos","Cuerpo","Bebida","Enojo","Suenio","Ninguno","Verguenza","Season"
74,"WI",0,0,0,0,0,0,0,0,0,0,0,0,0,"Oct-Dec"
75,"WI",8,1,1,1,1,1,0,0,0,2,0,1,0,"Oct-Dec"
76,"WS",0,0,0,0,0,0,0,0,0,0,0,0,0,"Oct-Dec"
77,"WS",0,0,0,0,0,0,0,0,0,0,0,0,0,"Oct-Dec"
78,"WS",0,0,0,0,0,0,0,0,0,0,0,0,0,"Oct-Dec"
79,"WS",0,0,0,0,0,0,0,0,0,0,0,0,0,"Oct-Dec"
80,"WS",1,1,0,0,0,0,0,0,0,0,0,0,0,"Oct-Dec"
81,"WS",1,0,0,0,0,0,0,0,0,1,0,0,0,"Oct-Dec"
82,"WS",6,0,1,0,0,0,0,0,1,2,0,2,0,"Oct-Dec"
83,"WS",NA,0,1,0,0,0,0,0,1,3,0,NA,0,"Oct-Dec"
84,"WS",5,1,1,0,0,0,0,0,2,0,1,0,0,"Oct-Dec"
85,"WS",1,0,0,0,0,0,0,0,0,1,0,0,0,"Oct-Dec"
86,"WS",4,1,2,0,0,0,0,0,0,1,0,0,0,"Oct-Dec"
87,"WS",23,2,3,2,2,1,2,2,1,3,2,2,1,"Oct-Dec"
88,"WS",13,1,2,2,2,2,0,2,0,1,0,1,0,"Oct-Dec"
89,"WS",8,1,0,1,0,0,1,0,2,2,0,1,0,"Oct-Dec"
90,"WS",2,0,0,0,0,0,1,0,0,0,0,0,1,"Oct-Dec"
91,"WS",7,1,2,0,2,0,0,1,0,1,0,0,0,"Oct-Dec"
92,"WS",3,0,1,0,0,0,0,0,0,2,0,0,0,"Oct-Dec"
93,"WS",5,1,2,0,1,0,0,0,0,1,0,0,0,"Oct-Dec"
94,"WS",4,0,1,0,0,0,0,0,1,1,0,0,1,"Oct-Dec"
95,"WS",4,1,1,0,1,0,0,0,0,1,0,0,0,"Oct-Dec"
96,"WS",0,0,0,0,0,0,0,0,0,0,0,0,0,"Oct-Dec"
97,"WS",0,0,0,0,0,0,0,0,0,0,0,0,0,"Oct-Dec"
98,"WS",7,0,1,2,0,0,0,0,1,1,1,0,1,"Oct-Dec"
99,"WS",9,1,3,1,0,0,0,0,1,1,1,1,0,"Oct-Dec"
100,"WS",2,0,0,1,0,0,0,0,0,1,0,0,0,"Oct-Dec"
101,"WS",20,2,3,1,1,0,0,3,3,2,1,2,2,"Oct-Dec"
102,"WS",9,2,1,2,2,0,0,1,0,1,0,0,0,"Oct-Dec"
103,"WS",8,1,1,2,0,1,0,1,0,1,0,1,0,"Oct-Dec"
104,"WS",1,0,1,0,0,0,0,0,0,0,0,0,0,"Oct-Dec"
105,"WS",0,0,0,0,0,0,0,0,0,0,0,0,0,"Oct-Dec"
106,"WS",10,1,2,0,2,0,0,1,0,1,0,3,0,"Oct-Dec"
107,"WS",11,3,3,1,2,1,0,0,0,1,0,0,0,"Oct-Dec"
108,"WS",13,3,2,3,2,1,0,0,0,1,0,1,0,"Oct-Dec"
109,"WS",8,1,0,1,3,1,0,1,0,1,0,0,0,"Oct-Dec"
110,"WS",4,0,0,0,0,1,0,0,1,0,1,1,0,"Oct-Dec"
111,"WS",16,3,2,1,0,3,2,1,0,1,0,3,0,"Oct-Dec"
112,"WS",1,1,0,0,0,0,0,0,0,0,0,0,0,"Oct-Dec"
113,"WS",6,1,1,1,2,0,0,0,0,1,0,0,0,"Oct-Dec"
114,"WS",2,0,1,1,0,0,0,0,0,0,0,0,0,"Oct-Dec"
115,"WS",5,1,1,2,0,0,0,0,0,1,0,0,0,"Oct-Dec"
116,"WS",6,3,2,0,0,0,0,1,0,0,0,0,0,"Oct-Dec"
117,"WS",2,1,0,1,0,0,0,0,0,0,0,0,0,"Oct-Dec"
118,"WS",5,0,0,0,1,1,0,1,0,1,0,1,0,"Oct-Dec"
119,"WS",10,1,2,1,1,1,0,0,1,1,1,1,0,"Oct-Dec"
120,"WS",4,0,0,0,2,1,0,1,0,0,0,0,0,"Oct-Dec"
121,"WS",4,1,0,0,0,0,0,0,1,0,1,1,0,"Oct-Dec"
122,"WS",4,0,1,1,1,0,0,0,0,0,0,1,0,"Oct-Dec"
123,"WS",2,0,1,0,0,0,0,0,0,1,0,0,0,"Oct-Dec"
124,"WS",11,3,3,0,3,0,0,0,2,0,0,0,0,"Oct-Dec"
125,"WS",0,0,0,0,0,0,0,0,0,0,0,0,0,"Oct-Dec"
126,"WS",0,0,0,0,0,0,0,0,0,0,0,0,0,"Oct-Dec"
127,"WS",0,0,0,0,0,0,0,0,0,0,0,0,0,"Oct-Dec"
128,"WS",10,3,2,1,1,0,0,0,0,1,0,2,0,"Oct-Dec"
129,"WS",4,0,0,0,1,0,0,1,1,1,0,0,0,"Oct-Dec"
130,"WS",4,0,1,1,0,0,0,0,0,1,0,1,0,"Oct-Dec"
131,"WS",14,3,2,1,1,1,0,1,1,2,1,1,0,"Oct-Dec"
132,"WS",3,0,0,0,0,0,0,0,0,0,0,3,0,"Oct-Dec"
133,"WS",2,1,0,0,0,0,0,0,1,0,0,0,0,"Oct-Dec"
134,"WS",4,1,2,0,0,0,0,0,0,0,1,0,0,"Oct-Dec"
135,"WS",3,0,2,0,0,0,0,0,0,0,0,0,1,"Oct-Dec"
136,"WS",5,1,1,1,0,0,0,0,1,0,0,1,0,"Oct-Dec"
137,"WS",5,0,1,1,0,0,1,1,0,1,0,0,0,"Oct-Dec"
138,"WS",18,2,2,3,3,2,0,3,0,3,0,0,0,"Oct-Dec"
139,"WS",5,0,1,0,0,0,0,1,1,1,0,0,1,"Oct-Dec"
140,"WS",3,0,1,0,0,0,0,0,0,1,0,1,0,"Oct-Dec"
141,"WS",13,0,1,1,2,1,2,2,0,3,0,1,0,"Oct-Dec"
142,"WS",18,1,2,3,1,1,1,2,2,3,0,2,0,"Oct-Dec"
143,"WS",4,1,0,0,0,0,0,0,1,1,0,1,0,"Oct-Dec"
144,"WS",3,0,1,0,0,0,0,0,1,0,1,0,0,"Oct-Dec"
145,"WS",6,1,2,1,0,0,0,0,0,0,0,2,0,"Oct-Dec"
146,"WS",0,0,0,0,0,0,0,0,0,0,0,0,0,"Oct-Dec"
147,"WS",5,0,0,0,0,0,0,3,0,0,0,2,0,"Oct-Dec"
148,"WS",1,0,0,0,0,0,0,0,0,1,0,0,0,"Oct-Dec"
149,"WS",17,3,3,2,2,2,0,1,0,3,0,1,0,"Oct-Dec"
150,"WS",2,0,0,0,0,0,0,0,1,1,0,0,0,"Oct-Dec"
151,"WS",6,1,0,2,0,0,1,1,0,1,0,0,0,"Oct-Dec"
152,"WS",13,3,2,1,1,0,0,1,1,3,0,1,0,"Oct-Dec"
153,"WS",14,2,1,2,1,0,0,2,2,2,2,0,0,"Oct-Dec"
154,"WS",8,2,3,1,1,0,0,0,0,1,0,0,0,"Oct-Dec"
155,"WS",12,1,3,3,0,1,0,0,0,2,0,2,0,"Oct-Dec"
156,"WS",8,2,1,2,3,0,0,0,0,0,0,0,0,"Oct-Dec"
157,"WS",8,2,2,1,1,0,0,0,0,1,0,1,0,"Oct-Dec"
158,"WS",9,3,2,2,2,0,0,0,0,0,0,0,0,"Oct-Dec"
159,"WS",5,1,1,1,0,0,0,0,0,1,0,1,0,"Oct-Dec"
160,"WS",2,0,2,0,0,0,0,0,0,0,0,0,0,"Oct-Dec"
161,"WS",9,1,2,1,1,0,0,2,0,2,0,0,0,"Oct-Dec"
162,"WS",6,1,2,0,0,0,0,1,0,1,0,1,0,"Oct-Dec"
163,"WS",1,0,1,0,0,0,0,0,0,0,0,0,0,"Oct-Dec"
165,"WS",2,0,1,0,1,0,0,0,0,0,0,0,0,"Oct-Dec"
166,"WI",11,0,1,1,3,0,0,1,0,2,1,2,0,"Oct-Dec"
167,"WI",16,2,2,2,1,1,1,1,1,1,1,2,1,"Oct-Dec"
168,"WI",NA,2,2,1,2,1,0,0,0,0,0,0,NA,"Oct-Dec"
169,"WI",8,1,3,1,0,0,1,0,0,1,0,1,0,"Oct-Dec"
170,"WI",13,1,3,3,2,0,0,2,0,2,0,0,0,"Oct-Dec"
171,"WI",13,3,3,0,1,0,0,1,1,2,2,0,0,"Oct-Dec"
172,"WI",9,1,2,0,1,1,0,0,1,2,0,1,0,"Oct-Dec"
173,"WI",5,1,2,0,1,0,0,0,0,1,0,0,0,"Oct-Dec"
174,"WI",5,0,1,1,0,0,0,0,1,1,0,1,0,"Oct-Dec"
175,"WI",10,0,2,0,2,0,2,1,2,1,0,0,0,"Oct-Dec"
176,"WI",8,2,1,0,0,0,0,2,1,0,2,0,0,"Oct-Dec"
177,"WI",12,2,0,2,3,0,1,0,1,0,1,2,0,"Oct-Dec"
178,"WI",8,2,2,2,0,0,0,1,0,1,0,0,0,"Oct-Dec"
179,"WI",1,0,1,0,0,0,0,0,0,0,0,0,0,"Oct-Dec"
180,"WI",11,1,1,0,1,0,0,2,0,2,0,3,1,"Oct-Dec"
181,"WI",0,0,0,0,0,0,0,0,0,0,0,0,0,"Oct-Dec"
182,"WI",25,2,2,2,2,2,1,3,2,3,2,3,1,"Oct-Dec"
183,"WI",0,0,0,0,0,0,0,0,0,0,0,0,0,"Oct-Dec"
184,"WI",5,3,1,0,0,0,0,0,0,1,0,0,0,"Oct-Dec"
185,"WI",9,1,3,1,1,0,1,0,1,1,0,0,0,"Oct-Dec"
186,"WI",12,2,2,1,1,1,0,1,0,2,1,0,1,"Oct-Dec"
187,"WI",4,0,1,1,0,0,0,1,0,1,0,0,0,"Oct-Dec"
188,"WI",2,0,0,0,0,0,0,0,1,0,0,1,0,"Oct-Dec"
189,"WI",7,0,1,1,2,0,0,2,0,1,0,0,0,"Oct-Dec"
190,"WI",16,1,1,1,2,1,0,1,1,1,1,3,3,"Oct-Dec"
191,"WI",6,1,1,2,0,0,0,2,0,0,0,0,0,"Oct-Dec"
192,"WI",7,2,1,0,1,0,1,0,1,1,0,0,0,"Oct-Dec"
193,"WI",8,2,1,0,0,1,1,1,0,1,0,1,0,"Oct-Dec"
194,"WI",9,0,1,2,2,0,0,0,2,0,1,1,0,"Oct-Dec"
195,"WI",13,2,2,1,1,1,0,2,0,2,0,1,1,"Oct-Dec"
196,"WI",13,1,2,1,2,1,0,1,1,1,1,2,0,"Oct-Dec"
197,"WI",6,0,3,0,0,1,0,0,0,1,0,1,0,"Oct-Dec"
198,"WI",1,0,1,0,0,0,0,0,0,0,0,0,0,"Oct-Dec"
199,"WI",6,0,2,0,0,0,0,0,2,0,2,0,0,"Oct-Dec"
200,"WI",14,3,3,0,3,0,0,0,0,3,0,2,0,"Oct-Dec"
201,"WI",22,3,3,1,3,2,1,1,2,3,1,2,0,"Oct-Dec"
202,"WI",5,0,0,0,0,2,0,0,1,0,1,0,1,"Oct-Dec"
203,"WI",11,1,2,2,0,2,0,0,0,2,0,2,0,"Oct-Dec"
204,"WI",13,1,1,2,1,1,2,1,1,2,0,1,0,"Oct-Dec"
301,"WI",5,2,0,1,0,0,0,0,0,2,0,0,0,"Apr-Jun"
302,"WI",0,0,0,0,0,0,0,0,0,0,0,0,0,"Apr-Jun"
303,"WI",6,2,2,2,0,0,0,0,0,0,0,0,0,"Apr-Jun"
304,"WI",6,1,0,0,1,0,1,1,0,1,0,1,0,"Apr-Jun"
305,"WI",4,1,2,0,0,0,0,0,0,0,1,0,0,"Apr-Jun"
306,"WI",16,2,3,1,3,0,0,3,0,1,0,3,0,"Apr-Jun"
307,"WI",8,3,0,0,0,1,0,0,1,1,1,1,0,"Apr-Jun"
308,"WI",11,2,2,1,2,0,0,2,1,1,0,0,0,"Apr-Jun"
309,"WI",7,1,1,1,1,1,0,0,0,1,0,1,0,"Apr-Jun"
310,"WI",19,3,1,1,3,3,0,0,1,3,0,3,1,"Apr-Jun"
311,"WI",8,1,2,3,1,0,0,0,0,1,0,0,0,"Apr-Jun"
312,"WI",5,1,1,1,0,0,0,1,0,1,0,0,0,"Apr-Jun"
313,"WI",3,1,0,0,0,0,0,1,0,1,0,0,0,"Apr-Jun"
314,"WI",21,2,3,3,2,1,0,1,2,1,1,3,2,"Apr-Jun"
315,"WI",7,2,1,2,0,0,0,0,0,1,1,0,0,"Apr-Jun"
316,"WI",22,3,3,2,3,2,1,2,0,3,0,1,2,"Apr-Jun"
317,"WI",6,1,2,0,0,1,0,0,0,1,0,1,0,"Apr-Jun"
318,"WI",8,1,2,3,0,0,0,0,0,1,0,1,0,"Apr-Jun"
319,"WI",15,1,2,2,2,1,2,2,1,2,0,0,0,"Apr-Jun"
320,"WI",10,2,2,2,1,0,0,0,0,2,0,1,0,"Apr-Jun"
321,"WI",6,1,0,0,1,0,0,0,1,1,1,1,0,"Apr-Jun"
322,"WI",11,2,3,2,2,0,0,0,0,2,0,0,0,"Apr-Jun"
323,"WI",1,0,1,0,0,0,0,0,0,0,0,0,0,"Apr-Jun"
324,"WI",9,0,1,0,2,0,1,2,0,1,0,1,1,"Apr-Jun"
325,"WI",11,2,1,2,1,1,0,2,0,2,0,0,0,"Apr-Jun"
326,"WS",5,1,1,1,1,0,0,0,0,1,0,0,0,"Apr-Jun"
327,"WI",1,0,1,0,0,0,0,0,0,0,0,0,0,"Apr-Jun"
328,"WI",2,0,2,0,0,0,0,0,0,0,0,0,0,"Apr-Jun"
329,"WI",14,1,3,0,3,1,0,0,2,1,0,1,2,"Apr-Jun"
330,"WI",20,3,3,3,0,1,1,2,2,2,1,2,0,"Apr-Jun"
331,"WI",3,0,1,1,0,0,1,0,0,0,0,0,0,"Apr-Jun"
332,"WS",11,3,2,1,2,1,0,0,1,0,1,0,0,"Apr-Jun"
333,"WS",26,3,3,3,3,3,0,3,0,3,0,3,2,"Apr-Jun"
334,"WI",6,1,2,1,1,0,0,0,0,1,0,0,0,"Apr-Jun"
335,"WS",7,3,3,1,0,0,0,0,0,0,0,0,0,"Apr-Jun"
336,"WS",7,0,1,2,0,0,0,3,0,1,0,0,0,"Apr-Jun"
337,"WS",2,2,0,0,0,0,0,0,0,0,0,0,0,"Apr-Jun"
338,"WS",9,1,2,3,0,0,0,2,0,1,0,0,0,"Apr-Jun"
339,"WS",10,2,2,1,2,0,0,1,1,1,0,0,0,"Apr-Jun"
340,"WS",2,0,1,0,0,0,0,0,0,0,1,0,0,"Apr-Jun"
341,"WS",14,2,3,2,2,0,0,1,1,2,0,0,1,"Apr-Jun"
342,"WS",14,1,2,2,3,1,0,1,1,2,0,1,0,"Apr-Jun"
343,"WS",19,3,2,3,2,1,2,3,2,1,0,0,0,"Apr-Jun"
344,"WS",15,3,2,2,2,1,0,0,0,2,0,2,1,"Apr-Jun"
345,"WS",27,3,3,3,3,3,1,2,3,3,0,1,2,"Apr-Jun"
346,"WS",14,2,3,2,1,0,0,1,1,2,1,1,0,"Apr-Jun"
347,"WS",NA,2,3,3,2,1,1,2,2,1,1,1,NA,"Apr-Jun"
348,"WS",21,1,1,2,2,1,1,3,2,2,2,3,1,"Apr-Jun"
349,"WS",20,1,2,3,2,3,2,1,1,1,1,2,1,"Apr-Jun"
350,"WS",7,1,3,0,0,0,0,0,0,3,0,0,0,"Apr-Jun"
351,"WS",21,3,2,3,2,1,1,2,0,3,1,2,1,"Apr-Jun"
352,"WS",16,2,2,2,2,2,1,2,0,2,0,1,0,"Apr-Jun"
353,"WS",16,2,2,1,2,1,1,3,0,2,0,1,1,"Apr-Jun"
354,"WI",8,2,1,0,0,1,0,0,1,3,0,0,0,"Apr-Jun"
355,"WS",2,1,0,0,0,0,0,0,1,0,0,0,0,"Apr-Jun"
356,"WI",2,0,1,0,0,0,0,0,0,0,0,0,1,"Apr-Jun"
357,"WS",15,3,2,1,2,2,1,2,0,2,0,0,0,"Apr-Jun"
358,"WS",NA,3,3,NA,2,0,0,0,0,2,0,0,0,"Apr-Jun"
359,"WS",3,0,1,0,0,0,0,0,0,0,1,1,0,"Apr-Jun"
360,"WS",0,0,0,0,0,0,0,0,0,0,0,0,0,"Apr-Jun"
361,"WS",17,1,2,3,3,0,0,3,0,2,0,3,0,"Apr-Jun"
362,"WS",4,0,1,0,0,0,0,0,1,1,1,0,0,"Apr-Jun"
