ID,SEASON,W_WS_LOC,HW_TOTAL,HW_WORRY,HW_INTERR,HW_CLOTHES,HW_PLANS,HW_FOOD,HW_HANDS,HW_BODY,HW_DRINK,HW_ANGRY,HW_SLEEP,HW_NONE,HW_SHAME,HW_INFO,PSS1,PSS2,PSS3,PSS4,PSS5,PSS6,PSS7,PSS8,PSS9,PSS10,PSS11,PSS12,PSS13,PSS14,PSS_TOTAL,PSS_INFO
35,Oct-Dec,WI,NA,0,0,0,0,0,0,0,0,1,,0,0,,1,1,2,3,3,4,3,1,3,2,2,2,3,2,N/A,puntaje= -10
36,Oct-Dec,WI,NA,0,0,0,0,0,0,0,0,1,0,0,0,Enojo- suciedad,0,2,2,3,3,3,3,2,3,2,1,2,2,1,N/A,puntaje= -9
37,Oct-Dec,WI,NA,1,0,0,0,0,0,0,0,0,1,0,0,"total= 2, sub= 1 ",,,,,0,0,,,,,,,,,N/A,PSS-14 not filled out for 037
38,Oct-Dec,WI,NA,0,0,0,0,2,0,0,0,3,0,0,0,"total= 5 , sub= 4 ",0,2,1,1,3,3,3,2,2,3,2,2,2,2,N/A,puntaje= -6
39,Oct-Dec,WI,NA,2,2,3,2,1,1,2,1,2,0,2,2,"total= 20, sub=6",2,2,3,3,3,2,2,2,2,2,4,4,3,2,N/A,puntaje=2
40,Oct-Dec,WI,NA,2,2,3,1,2,2,2,1,2,0,2,3,,0,1,1,2,3,1,2,2,3,2,1,1,4,1,N/A,
41,Oct-Dec,WS,NA,0,0,0,0,0,0,0,0,0,0,0,0,,4,2,3,3,4,3,4,3,3,2,1,2,3,2,N/A,
42,Oct-Dec,WS,NA,0,0,0,0,0,0,0,0,0,0,0,0,,4,4,4,3,3,4,2,1,3,2,3,2,3,2,N/A,
43,Oct-Dec,WS,NA,1,1,1,1,2,0,0,1,1,0,2,0,"Alimentos: tienen que bajar a cocinar pero no cambia plan
Enojo: ella se desespera
si se acaba garrafon te quedas sin beber despues de las 6 hasta 10-11 am dia siguiente",3,2,4,2,2,2,2,3,3,2,3,3,3,4,N/A,3: a veces me duermo con anciedad
44,Oct-Dec,WS,NA,0,0,0,0,0,0,0,0,0,0,0,0,,2,2,2,3,4,4,4,2,2,2,4,4,4,2,N/A,
45,Oct-Dec,WI,NA,1,2,1,2,0,0,0,0,1,0,0,0,,4,2,4,3,4,3,2,3,2,2,3,3,2,2,N/A,
46,Oct-Dec,WI,NA,0,2,1,3,0,0,0,0,3,0,3,1,,2,2,2,3,3,3,4,2,3,1,0,3,4,0,N/A,
47,Oct-Dec,WS,NA,0,1,0,0,0,0,0,1,0,0,0,0,Bebida: 2 veces no hubo agua de garrafon,2,1,2,4,3,4,3,4,3,2,2,3,3,1,N/A,
48,Oct-Dec,WS,NA,0,0,0,1,0,0,1,0,,0,0,0,"Planes: En la semana anterior tuvo poca presion como todo 1 dia porque arreglaron una bomba.
Cuerpo: A su esposo le salio agua sucia cuando se banio.",2,2,2,3,3,3,3,2,3,2,2,2,2,2,N/A,
49,Oct-Dec,WS,NA,0,0,0,0,0,0,0,0,0,0,0,0,,1,2,2,3,2,3,2,2,2,1,0,2,3,0,N/A,
50,Oct-Dec,WS,NA,1,0,0,0,0,0,0,1,0,0,0,0,,3,4,3,3,2,3,2,3,2,2,3,4,3,3,N/A,
51,Oct-Dec,WS,NA,0,1,1,0,0,0,0,0,1,0,0,0,Cuando queda agua p/laver la cisterna. Quteren el agua 2 veces y no avisaron la quteron 2 hrs y fue molesto para ellos,4,4,4,2,1,2,1,4,1,0,4,4,2,4,N/A,
52,Oct-Dec,WI,NA,1,2,1,1,2,0,1,1,2,1,1,0,,3,4,3,2,3,2,3,2,2,4,3,4,2,2,N/A,
53,Oct-Dec,WI,NA,0,1,0,0,0,0,0,0,0,0,3,0,,2,2,2,1,2,3,3,3,2,3,3,2,3,4,N/A,
54,Oct-Dec,WI,NA,0,0,1,0,0,0,0,1,0,0,1,0,Para bebida--se olvide ira buscar agua,2,2,2,2,2,2,3,2,3,2,2,2,2,2,N/A,
55,Oct-Dec,WI,NA,1,2,2,1,0,0,1,0,1,0,0,0,,3,4,4,1,2,1,2,4,2,1,4,4,1,4,N/A,
56,Oct-Dec,WI,NA,1,2,3,2,0,0,0,0,2,0,0,1,5-hay que comprar garrafon,3,3,4,2,2,1,2,3,1,1,3,3,1,3,N/A,
57,Oct-Dec,WI,NA,3,2,2,2,2,0,1,0,0,0,0,0,,2,3,4,2,2,4,2,2,3,3,2,4,3,4,N/A,
58,Oct-Dec,WI,NA,0,0,1,0,0,0,1,0,1,0,2,0,,2,2,3,4,4,4,3,2,2,4,3,2,4,2,N/A,
59,Oct-Dec,WI,NA,0,1,0,0,1,0,0,1,2,0,2,0,Enojo--costo,1,1,3,4,4,3,2,2,3,2,2,3,3,2,N/A,
60,Oct-Dec,WI,NA,0,0,0,0,0,0,0,0,2,0,0,0,Enojo: -fin de semana; vecino lava su banqueta y carro; les molesta; le han dicho y es grosero,2,1,2,3,2,3,2,2,3,1,1,4,2,2,N/A,
61,Oct-Dec,WI,NA,0,0,0,1,0,0,1,0,1,0,0,0,"4. Si llega tarde, mover planes para mas tarde. Llega tarde a trabajo y escuela.
7. Si no la mandan
9. Cuando cortan sin avisar.",3,4,3,2,2,3,4,3,2,0,1,3,2,3,N/A,
62,Oct-Dec,WI,NA,1,1,0,1,0,0,1,0,2,0,3,0,2) 10-11 llega a interrumpir,1,2,4,2,2,3,3,3,3,1,4,3,2,1,N/A,
63,Oct-Dec,WI,NA,1,0,1,0,1,0,1,1,0,1,3,,,2,3,3,2,3,3,2,2,3,2,3,2,1,2,N/A,
64,Oct-Dec,WI,NA,1,1,0,1,0,0,0,0,1,0,3,2,,3,4,3,2,3,4,2,3,3,2,3,1,2,3,N/A,
65,Oct-Dec,WI,NA,1,3,1,1,0,0,0,1,3,0,1,0,,4,4,3,2,2,1,4,3,2,1,4,3,2,3,N/A,
66,Oct-Dec,WI,NA,0,0,0,0,0,0,0,0,0,0,0,0,,2,2,3,4,4,3,2,1,3,2,3,2,2,1,N/A,
67,Oct-Dec,WI,NA,1,1,0,1,0,0,0,0,0,0,0,0,,0,0,4,4,3,3,3,2,3,2,1,4,3,1,N/A,
68,Oct-Dec,WI,NA,2,1,1,3,0,0,2,0,1,0,2,0,,2,2,3,2,2,2,3,3,2,2,3,3,2,2,N/A,
69,Oct-Dec,WI,NA,2,1,2,1,0,0,0,0,2,0,0,0,,3,1,4,1,1,3,3,1,2,3,3,3,2,4,N/A,
70,Oct-Dec,WI,NA,3,1,0,0,0,0,0,0,0,0,0,0,,1,2,2,3,4,3,3,1,3,2,1,3,2,1,N/A,
